cm_code;Type;Attribut;Valeur N-1;Valeur N
590798;Modification;cm_long;22.1728398082;252.26
591021;Modification;cm_long;273.053350658;1626.5
590199;Modification;cm_long;24.5384191047;240.83
562226;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590409;Modification;cm_long;3.8965299994;2390.73
590897;Modification;cm_long;7.0875704159;371.86
590782;Modification;cm_long;245.203897291;801.49
590421;Modification;cm_long;30.1400247398;59.02
563002;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590733;Modification;cm_long;5.6674585062;259.17
590215;Modification;cm_long;34.6743554809;372.56
590792;Modification;cm_long;337.30725589;504.64
590311;Modification;cm_long;72.2722633445;429.13
590193;Modification;cm_long;19.0294581005;240.83
8484234;Modification;cm_long;47.7665392642;21.81543489
590813;Modification;cm_long;42.8929009244;1017.08
590477;Modification;cm_long;26.9166714621;1314.54
590371;Modification;cm_long;386.677015287;449.11
590713;Modification;cm_long;475.533024207;1626.5
590399;Modification;cm_long;2.4570518471;2390.73
8283254;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
591035;Modification;cm_long;31.0231355449;664.32
590476;Modification;cm_long;27.6393108141;1314.54
590213;Modification;cm_long;124.731568325;278.69
590458;Modification;cm_long;29.5917669449;1314.54
590775;Modification;cm_long;86.3356484708;498.15
563672;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590221;Modification;cm_long;7.395388455;371.86
8240383;Modification;cm_long;13.7096849443;19.92581183
8283249;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590832;Modification;cm_long;74.0840575231;1234.78
590483;Modification;cm_long;36.0507950213;85.68
590871;Modification;cm_long;8.1869264953;371.86
8484215;Modification;cm_long;36.3091474156;13.06008999
591047;Modification;cm_long;31.0342777486;1017.08
590801;Modification;cm_long;9.7274184031;240.83
590246;Modification;cm_long;20.2100400918;453.94
561989;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
591093;Modification;cm_long;28.4992701541;1314.54
8282297;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590472;Modification;cm_long;32.092458717;1314.54
564441;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590821;Modification;cm_long;25.310584608;27.55
8283270;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
8264064;Modification;cm_long;33.9075400434;30.18286576
590247;Modification;cm_long;465.430759952;2482.91
590216;Modification;cm_long;6.1858498432;371.86
590252;Modification;cm_long;147.227346021;2482.91
590307;Modification;cm_long;32.6022433099;1017.08
590424;Modification;cm_long;0.6905293332;402.57
590398;Modification;cm_long;24.5448736271;2390.73
590434;Modification;cm_long;3.9615371145;240.83
590254;Modification;cm_long;42.1253161383;85.5
590466;Modification;cm_long;31.2480858653;371.86
590913;Modification;cm_long;84.4099368055;1314.54
590473;Modification;cm_long;30.2555834817;1314.54
590470;Modification;cm_long;7.7628647483;1017.08
590812;Modification;cm_long;6.1930410139;1017.08
559206;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590823;Modification;cm_long;364.962318455;2213.85
590217;Modification;cm_long;14.4187453546;371.86
8276224;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
8407430;Modification;cm_long;82.7638531991;42.15069513
586232;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590797;Modification;cm_long;28.8481818402;371.86
590403;Modification;cm_long;22.5369061094;2482.91
563318;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
591119;Modification;cm_long;7.0235477332;1017.08
590195;Modification;cm_long;14.3094670566;240.83
590322;Modification;cm_long;3.5073689681;425.75
591094;Modification;cm_long;27.4247455129;1314.54
591025;Modification;cm_long;2.6098036619;15.65
590805;Modification;cm_long;0.8140103164;418.63
559639;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590481;Modification;cm_long;25.6266184441;1314.54
590712;Modification;cm_long;81.5287102007;1626.5
590211;Modification;cm_long;10.9173110426;664.32
590243;Modification;cm_long;51.9451771967;372.56
559792;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590851;Modification;cm_long;21.1284182883;1017.08
563548;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590312;Modification;cm_long;38.2390662753;429.13
590206;Modification;cm_long;22.315046393;664.32
590310;Modification;cm_long;65.7765373187;167.9
590838;Modification;cm_long;46.7628605276;371.86
8282300;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590475;Modification;cm_long;28.3455715022;1314.54
590244;Modification;cm_long;16.8545692345;664.32
590224;Modification;cm_long;15.4929859343;371.86
591042;Modification;cm_long;8.2290563;664.32
559368;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590953;Modification;cm_long;30.0484066559;1314.54
8283252;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590433;Modification;cm_long;12.0147829991;240.83
578096;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
8283264;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
8283294;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590457;Modification;cm_long;27.3664948797;1314.54
590248;Modification;cm_long;161.286777933;2482.91
590372;Modification;cm_long;62.4293610168;449.11
590731;Modification;cm_long;51.5080853021;193.91
564147;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590777;Modification;cm_long;48.2997979416;93.99
561117;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590260;Modification;cm_long;30.5695442982;1017.08
591033;Modification;cm_long;7.2163127565;170.48
591104;Modification;cm_long;374.809216877;2390.73
1317153;Modification;cm_long;50.3729579032;256.73
590460;Modification;cm_long;30.0166125057;1314.54
591088;Modification;cm_long;9.260250149;664.32
563915;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590266;Modification;cm_long;17.9500998297;1017.08
8337015;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
591087;Modification;cm_long;12.7188754251;664.32
590431;Modification;cm_long;33.5224360737;371.86
591064;Modification;cm_long;9.2356497552;174.62
587534;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590907;Modification;cm_long;63.7543252734;78.2
590844;Modification;cm_long;2.8106770126;3241.22
590358;Modification;cm_long;14.7143987067;1017.08
590208;Modification;cm_long;12.1311634941;664.32
561751;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590240;Modification;cm_long;18.9668420052;664.32
590912;Modification;cm_long;157.486537474;1314.54
590456;Modification;cm_long;2.809654477;1314.54
570801;Modification;cm_long;253.83603289;411.48
563315;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590313;Modification;cm_long;13.6226016575;429.13
566367;Modification;cm_long;2816.26286555;2814.451782
590320;Modification;cm_long;25.1753721008;498.15
590833;Modification;cm_long;353.417922691;1234.78
590848;Modification;cm_long;40.0171992127;453.94
590416;Modification;cm_long;3.0145668578;6.96
590482;Modification;cm_long;9.7864514862;85.68
590412;Modification;cm_long;1070.42850036;2201.55
562396;Modification;cm_long;247.50627102;239.68
8282299;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
8283287;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590401;Modification;cm_long;245.673575305;2482.91
590850;Modification;cm_long;22.01264431;453.94
590852;Modification;cm_long;13.2287839199;1017.08
590405;Modification;cm_long;33.0122107215;453.94
590351;Modification;cm_long;202.875121928;251.08
591112;Modification;cm_long;980.637263483;3241.22
7198449;Modification;cm_long;0.0151604749;541.73
566948;Modification;cm_long;1595.85689961;1594.830339
590485;Modification;cm_long;5.5522929498;85.68
590862;Modification;cm_long;10.1752981774;664.32
590355;Modification;cm_long;12.0236881613;1017.08
590303;Modification;cm_long;78.9574725855;453.94
590233;Modification;cm_long;9.5756473473;48.82
590374;Modification;cm_long;0.8137099526;167.6
590327;Modification;cm_long;10.0695526912;174.62
590350;Modification;cm_long;48.2024073456;251.08
590709;Modification;cm_long;170.817043302;425.07
590194;Modification;cm_long;41.1642880791;240.83
580978;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590309;Modification;cm_long;43.4834331885;167.9
590258;Modification;cm_long;19.3572749302;1017.08
8336379;Modification;cm_long;286.389284517;143.5431296
563061;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590294;Modification;cm_long;2.919343294;504.64
8484218;Modification;cm_long;44.3476110969;14.3125194
591049;Modification;cm_long;28.0592354921;453.94
590218;Modification;cm_long;324.771813405;1626.5
590198;Modification;cm_long;5.022459975;240.83
590714;Modification;cm_long;219.26212669;1626.5
590329;Modification;cm_long;36.7548693819;174.62
576558;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590375;Modification;cm_long;362.189601725;899.16
563314;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
566278;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
8283253;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590229;Modification;cm_long;10.8085808374;252.26
8282294;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
8283293;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
8282303;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590402;Modification;cm_long;65.0588718417;2482.91
590822;Modification;cm_long;2.2397366006;27.55
590242;Modification;cm_long;78.4685487267;372.56
590841;Modification;cm_long;15.3461873962;1017.08
590920;Modification;cm_long;21.8396107821;864.45
8309199;Modification;cm_long;82.0226297105;76.33737826
564193;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590271;Modification;cm_long;44.9110001608;453.94
8282296;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
541271;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
8282617;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590214;Modification;cm_long;153.962597698;278.69
590270;Modification;cm_long;13.0129985253;453.94
8283285;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590366;Modification;cm_long;0.6903706251;82.93
590356;Modification;cm_long;8.4755541601;1017.08
590265;Modification;cm_long;19.1040973877;1017.08
8336702;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
559402;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
8354936;Modification;cm_long;16.1631573776;27.04397073
1336033;Modification;cm_long;15.5172308683;32.85
590789;Modification;cm_long;585.223754335;846
590480;Modification;cm_long;27.7611071033;1314.54
590734;Modification;cm_long;9.5233676228;259.17
590293;Modification;cm_long;83.6870887071;504.64
590788;Modification;cm_long;143.107068089;846
590227;Modification;cm_long;7.3242660561;252.26
590462;Modification;cm_long;358.613446168;1314.54
587681;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590918;Modification;cm_long;73.6908198576;85.06
590306;Modification;cm_long;16.3102016538;1017.08
8405828;Modification;cm_long;83.0821357003;47.85534225
591044;Modification;cm_long;334.178948077;2213.85
590340;Modification;cm_long;66.8013900366;109.94
563304;Modification;cm_long;1596.34981966;1595.333458
590308;Modification;cm_long;5.8611434995;93.99
590767;Modification;cm_long;327.002189261;801.49
560571;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590321;Modification;cm_long;490.92196957;899.16
590899;Modification;cm_long;25.2561427814;664.32
590895;Modification;cm_long;30.1294239619;1017.08
590245;Modification;cm_long;1.3881231646;664.32
591034;Modification;cm_long;33.474920957;170.48
590354;Modification;cm_long;6.1519390548;1017.08
590861;Modification;cm_long;43.9691010449;664.32
8283257;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590235;Modification;cm_long;293.100820246;303.42
590428;Modification;cm_long;0.5804600934;175.15
8282614;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590872;Modification;cm_long;37.8207997936;371.86
590341;Modification;cm_long;43.1395205586;109.94
590465;Modification;cm_long;11.5178439391;371.86
591120;Modification;cm_long;7.5672754542;1017.08
590318;Modification;cm_long;178.148800968;498.15
562702;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
1324837;Modification;cm_long;221.722805306;2723.04
562865;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
1985458;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
8282298;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
591061;Modification;cm_long;298.37900033;2482.91
590410;Modification;cm_long;950.622992621;2201.55
590203;Modification;cm_long;32.9253791222;664.32
8407413;Modification;cm_long;64.6730086594;56.19835781
