cm_code;Type;Attribut;Valeur N-1;Valeur N
559261;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590823;Modification;cm_long;2213.85;364.962318455
590863;Modification;cm_long;1017.08;24.9399506398
590374;Modification;cm_long;167.6;0.8137099526
590262;Modification;cm_long;1017.08;29.7379674497
1318753;Modification;cm_long;570.24;11.5311078965
8283264;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590915;Modification;cm_long;1314.54;2.0830716973
590907;Modification;cm_long;78.2;63.7543252734
8282619;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
604832;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590832;Modification;cm_long;1234.78;74.0840575231
590690;Modification;cm_long;1286.04;470.347651595
590821;Modification;cm_long;27.55;25.310584608
8283291;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590434;Modification;cm_long;240.83;3.9615371145
559493;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
567532;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590372;Modification;cm_long;449.11;62.4293610168
591087;Modification;cm_long;664.32;12.7188754251
590196;Modification;cm_long;240.83;34.5304592839
590453;Modification;cm_long;1314.54;17.905079219
590871;Modification;cm_long;371.86;8.1869264953
590197;Modification;cm_long;240.83;48.0072826709
590198;Modification;cm_long;240.83;5.022459975
8283257;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590423;Modification;cm_long;846;117.665585343
590811;Modification;cm_long;1017.08;6.0172568562
1268514;Modification;cm_long;7.18;3.0840507046
590207;Modification;cm_long;664.32;117.58350078
8282617;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590265;Modification;cm_long;1017.08;19.1040973877
586003;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
589451;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
591119;Modification;cm_long;1017.08;7.0235477332
8283286;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590213;Modification;cm_long;278.69;124.731568325
559368;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
591120;Modification;cm_long;1017.08;7.5672754542
590825;Modification;cm_long;2390.73;2.8430140497
590354;Modification;cm_long;1017.08;6.1519390548
591043;Modification;cm_long;2213.85;380.884437723
590781;Modification;cm_long;801.49;229.283353058
541272;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590910;Modification;cm_long;68.25;21.894681986
590206;Modification;cm_long;664.32;22.315046393
8283294;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
564011;Modification;cm_long;1766.865304;1767.97944252
8283287;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590202;Modification;cm_long;664.32;40.472234132
590482;Modification;cm_long;85.68;9.7864514862
590318;Modification;cm_long;498.15;178.148800968
8282620;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
8272387;Modification;cm_long;68.91765074;40.9680035291
590247;Modification;cm_long;2482.91;465.430759952
8337015;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590465;Modification;cm_long;371.86;11.5178439391
590306;Modification;cm_long;1017.08;16.3102016538
590776;Modification;cm_long;498.15;132.431533958
559070;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590472;Modification;cm_long;1314.54;32.092458717
8354344;Modification;cm_long;32.84374466;69.5560002483
590208;Modification;cm_long;664.32;12.1311634941
590864;Modification;cm_long;1017.08;3.6528794615
591088;Modification;cm_long;664.32;9.260250149
564441;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
8283262;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590797;Modification;cm_long;371.86;28.8481818402
590299;Modification;cm_long;2213.85;33.7387702097
590360;Modification;cm_long;1017.08;4.2712102828
590375;Modification;cm_long;899.16;362.189601725
590409;Modification;cm_long;2390.73;3.8965299994
590366;Modification;cm_long;82.93;0.6903706251
558662;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590254;Modification;cm_long;85.5;42.1253161383
562560;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590838;Modification;cm_long;371.86;46.7628605276
590732;Modification;cm_long;259.17;243.976086182
591048;Modification;cm_long;1017.08;26.6450213869
590226;Modification;cm_long;252.26;71.1894594455
590371;Modification;cm_long;449.11;386.677015287
590885;Modification;cm_long;1017.08;15.0548642465
590256;Modification;cm_long;429.13;24.4250014515
590271;Modification;cm_long;453.94;44.9110001608
564193;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590403;Modification;cm_long;2482.91;22.5369061094
590484;Modification;cm_long;85.68;30.8603102836
563548;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590245;Modification;cm_long;664.32;1.3881231646
590216;Modification;cm_long;371.86;6.1858498432
590261;Modification;cm_long;1017.08;115.55081795
590406;Modification;cm_long;453.94;4.7987618392
590204;Modification;cm_long;664.32;20.1028569164
590416;Modification;cm_long;6.96;3.0145668578
590272;Modification;cm_long;453.94;39.6676847648
590251;Modification;cm_long;2482.91;41.1344890207
590886;Modification;cm_long;1017.08;4.1236358942
590353;Modification;cm_long;36.63;14.6957546863
590788;Modification;cm_long;846;143.107068089
579362;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590221;Modification;cm_long;371.86;7.395388455
590913;Modification;cm_long;1314.54;84.4099368055
590412;Modification;cm_long;2201.55;1070.42850036
8283256;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590897;Modification;cm_long;371.86;7.0875704159
8282297;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590302;Modification;cm_long;453.94;17.9435100304
8283289;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590402;Modification;cm_long;2482.91;65.0588718417
559633;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
576558;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590712;Modification;cm_long;1626.5;81.5287102007
590268;Modification;cm_long;1017.08;21.1653860323
8282301;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
8407430;Modification;cm_long;42.15069513;82.7638531991
590231;Modification;cm_long;252.26;4.1178569311
590301;Modification;cm_long;453.94;71.6263909261
8282614;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
563315;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
563002;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590459;Modification;cm_long;1314.54;30.0558242755
8283290;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
562482;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590431;Modification;cm_long;371.86;33.5224360737
590312;Modification;cm_long;429.13;38.2390662753
590264;Modification;cm_long;1017.08;16.3358847168
590801;Modification;cm_long;240.83;9.7274184031
590921;Modification;cm_long;864.45;358.654307848
591104;Modification;cm_long;2390.73;374.809216877
590315;Modification;cm_long;664.32;21.9836235274
561879;Modification;cm_long;456.63;448.25712472
559792;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
562891;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
8319410;Modification;cm_long;76.88700252;75.7349634304
8277504;Modification;cm_long;34.47028172;48.203016101
8405828;Modification;cm_long;47.85534225;83.0821357003
591093;Modification;cm_long;1314.54;28.4992701541
590852;Modification;cm_long;1017.08;13.2287839199
590919;Modification;cm_long;85.06;11.3685846873
590358;Modification;cm_long;1017.08;14.7143987067
8264064;Modification;cm_long;30.18286576;33.9075400434
590398;Modification;cm_long;2390.73;24.5448736271
590229;Modification;cm_long;252.26;10.8085808374
590240;Modification;cm_long;664.32;18.9668420052
8237178;Modification;cm_long;228.2523093;199.905357296
8283261;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
570801;Modification;cm_long;411.48;253.83603289
590415;Modification;cm_long;6.96;3.9474928518
637154;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
8283266;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
8283265;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
591034;Modification;cm_long;170.48;33.474920957
590363;Modification;cm_long;112.74;0.8139996555
591111;Modification;cm_long;3241.22;263.349343448
561989;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
8282300;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590851;Modification;cm_long;1017.08;21.1284182883
590456;Modification;cm_long;1314.54;2.809654477
591090;Modification;cm_long;1017.08;1.7414248014
8336379;Modification;cm_long;143.5431296;286.389284517
590260;Modification;cm_long;1017.08;30.5695442982
590259;Modification;cm_long;1017.08;72.1231349742
590214;Modification;cm_long;278.69;153.962597698
590477;Modification;cm_long;1314.54;26.9166714621
8283292;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590824;Modification;cm_long;2213.85;359.136731822
590849;Modification;cm_long;453.94;14.1662866441
562478;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
8283270;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590872;Modification;cm_long;371.86;37.8207997936
590263;Modification;cm_long;1017.08;46.6785364472
590243;Modification;cm_long;372.56;51.9451771967
590313;Modification;cm_long;429.13;13.6226016575
591096;Modification;cm_long;2787.87;173.01739774
8350455;Modification;cm_long;115.0832216;179.80748794
560568;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
560796;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
591061;Modification;cm_long;2482.91;298.37900033
590478;Modification;cm_long;1314.54;28.0900307049
590209;Modification;cm_long;664.32;24.0104707501
590792;Modification;cm_long;504.64;337.30725589
561360;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590901;Modification;cm_long;664.32;3.4242485073
1317474;Modification;cm_long;94.22;11.0000615173
580976;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590473;Modification;cm_long;1314.54;30.2555834817
590470;Modification;cm_long;1017.08;7.7628647483
590405;Modification;cm_long;453.94;33.0122107215
8314935;Modification;cm_long;120.4905668;107.327090369
590200;Modification;cm_long;170.48;120.431410918
590222;Modification;cm_long;371.86;39.0172988239
590328;Modification;cm_long;174.62;10.6613916728
590248;Modification;cm_long;2482.91;161.286777933
590399;Modification;cm_long;2390.73;2.4570518471
590777;Modification;cm_long;93.99;48.2997979416
591022;Modification;cm_long;1626.5;252.349746418
563915;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
7198449;Modification;cm_long;541.73;0.0151604749
566278;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
562396;Modification;cm_long;239.68;247.50627102
590215;Modification;cm_long;372.56;34.6743554809
8283288;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590775;Modification;cm_long;498.15;86.3356484708
590193;Modification;cm_long;240.83;19.0294581005
590421;Modification;cm_long;59.02;30.1400247398
590303;Modification;cm_long;453.94;78.9574725855
8283254;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
582080;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
563633;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590479;Modification;cm_long;1314.54;26.6984890089
590900;Modification;cm_long;664.32;18.824659657
590267;Modification;cm_long;1017.08;16.7455985949
590311;Modification;cm_long;429.13;72.2722633445
591094;Modification;cm_long;1314.54;27.4247455129
590203;Modification;cm_long;664.32;32.9253791222
563167;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
562226;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590230;Modification;cm_long;252.26;12.0961273156
590211;Modification;cm_long;664.32;10.9173110426
590802;Modification;cm_long;664.32;22.1387347651
590351;Modification;cm_long;251.08;202.875121928
8283252;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590232;Modification;cm_long;252.26;42.596831351
8283249;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590376;Modification;cm_long;899.16;46.0501652593
590481;Modification;cm_long;1314.54;25.6266184441
705339;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590730;Modification;cm_long;193.91;142.404852238
590711;Modification;cm_long;83.11;5.042177486
590800;Modification;cm_long;240.83;28.5236157836
590713;Modification;cm_long;1626.5;475.533024207
590205;Modification;cm_long;664.32;5.1548391494
590356;Modification;cm_long;1017.08;8.4755541601
8349545;Modification;cm_long;203.2357467;177.009745834
1985459;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590321;Modification;cm_long;899.16;490.92196957
8282296;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
591037;Modification;cm_long;252.26;47.0106410104
590401;Modification;cm_long;2482.91;245.673575305
580978;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
559402;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590293;Modification;cm_long;504.64;83.6870887071
590920;Modification;cm_long;864.45;21.8396107821
587681;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590355;Modification;cm_long;1017.08;12.0236881613
590407;Modification;cm_long;2390.73;681.866807738
590709;Modification;cm_long;425.07;170.817043302
566367;Modification;cm_long;2814.451782;2816.26286555
590841;Modification;cm_long;1017.08;15.3461873962
590796;Modification;cm_long;371.86;20.3368436752
590844;Modification;cm_long;3241.22;2.8106770126
559159;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
591042;Modification;cm_long;664.32;8.2290563
590471;Modification;cm_long;93.99;24.3307559416
564147;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590475;Modification;cm_long;1314.54;28.3455715022
590458;Modification;cm_long;1314.54;29.5917669449
590310;Modification;cm_long;167.9;65.7765373187
590803;Modification;cm_long;664.32;5.9036677232
8484215;Modification;cm_long;13.06008999;36.3091474156
591033;Modification;cm_long;170.48;7.2163127565
590842;Modification;cm_long;1017.08;14.7658556731
590461;Modification;cm_long;1314.54;32.6457598665
8283293;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
591025;Modification;cm_long;15.65;2.6098036619
590778;Modification;cm_long;93.99;15.4940461914
590774;Modification;cm_long;1314.54;29.9857683859
8282294;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590833;Modification;cm_long;1234.78;353.417922691
586232;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590359;Modification;cm_long;1017.08;5.20151541
590258;Modification;cm_long;1017.08;19.3572749302
8285497;Modification;cm_long;19.98814327;11.9278642665
590460;Modification;cm_long;1314.54;30.0166125057
590199;Modification;cm_long;240.83;24.5384191047
590426;Modification;cm_long;127.45;0.5803219107
559422;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590250;Modification;cm_long;2482.91;94.7214530386
590914;Modification;cm_long;1314.54;30.141020087
590896;Modification;cm_long;1017.08;38.4532282593
591050;Modification;cm_long;453.94;25.5453376451
559032;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590428;Modification;cm_long;175.15;0.5804600934
562483;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590430;Modification;cm_long;1314.54;23.4043211684
590848;Modification;cm_long;453.94;40.0171992127
562808;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
590340;Modification;cm_long;109.94;66.8013900366
590782;Modification;cm_long;801.49;245.203897291
590899;Modification;cm_long;664.32;25.2561427814
590308;Modification;cm_long;93.99;5.8611434995
590839;Modification;cm_long;371.86;1.0129584789
590916;Modification;cm_long;1314.54;27.8676953313
590424;Modification;cm_long;402.57;0.6905293332
779239;Modification;cm_long;2061.354547;2062.66063294
590468;Modification;cm_long;1017.08;8.3453682315
591026;Modification;cm_long;15.65;13.0442073146
561688;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
562865;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
8283251;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590710;Modification;cm_long;83.11;78.0639646099
590805;Modification;cm_long;418.63;0.8140103164
1317154;Modification;cm_long;97.9;3.6795721178
591089;Modification;cm_long;1017.08;54.8529556146
590270;Modification;cm_long;453.94;13.0129985253
8283253;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
562904;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590295;Modification;cm_long;864.45;483.95461903
590341;Modification;cm_long;109.94;43.1395205586
590834;Modification;cm_long;1234.78;211.074809942
590234;Modification;cm_long;48.82;39.2436713212
590895;Modification;cm_long;1017.08;30.1294239619
590462;Modification;cm_long;1314.54;358.613446168
8484236;Modification;cm_long;9.562027893;25.9553551723
935077;Modification;cm_long;423.74;257.044793267
541271;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590352;Modification;cm_long;36.63;21.9372808251
587992;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590309;Modification;cm_long;167.9;43.4834331885
590323;Modification;cm_long;425.75;422.242593116
587534;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590432;Modification;cm_long;252.26;20.9714025787
1985458;Modification;cm_codeext;TERRITOIRE;HORS TERRITOIRE
8283255;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
1336033;Modification;cm_long;32.85;15.5172308683
562702;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
587259;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
591036;Modification;cm_long;664.32;62.5902188319
590474;Modification;cm_long;1314.54;30.6270697516
590397;Modification;cm_long;3782.13;2738.7313822
590708;Modification;cm_long;425.07;254.25429297
590219;Modification;cm_long;137.75;66.7416598598
591064;Modification;cm_long;174.62;9.2356497552
590210;Modification;cm_long;664.32;9.0468631337
8276224;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590799;Modification;cm_long;252.26;2.2799705733
8354936;Modification;cm_long;27.04397073;16.1631573776
559206;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590855;Modification;cm_long;2390.73;240.458731975
8309199;Modification;cm_long;76.33737826;82.0226297105
590319;Modification;cm_long;498.15;76.057993319
559598;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590476;Modification;cm_long;1314.54;27.6393108141
8282291;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
8282291;Modification;cm_long;660.3898573;292.361232155
590249;Modification;cm_long;2482.91;328.307139835
828193;Modification;cm_long;184.61;180.839165756
8282299;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590223;Modification;cm_long;371.86;12.8487075179
559596;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590329;Modification;cm_long;174.62;36.7548693819
591044;Modification;cm_long;2213.85;334.178948077
563061;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590322;Modification;cm_long;425.75;3.5073689681
590195;Modification;cm_long;240.83;14.3094670566
591049;Modification;cm_long;453.94;28.0592354921
590846;Modification;cm_long;167.9;36.6167397547
591063;Modification;cm_long;174.62;8.8038822005
590294;Modification;cm_long;504.64;2.919343294
590734;Modification;cm_long;259.17;9.5233676228
8247451;Modification;cm_long;115.3357663;102.737391292
8319433;Modification;cm_long;33.50533317;34.7861884788
590330;Modification;cm_long;174.62;46.153954963
8282304;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590314;Modification;cm_long;1017.08;60.1955249836
559639;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590246;Modification;cm_long;453.94;20.2100400918
590835;Modification;cm_long;1234.78;596.206191353
590241;Modification;cm_long;372.56;118.199385395
590822;Modification;cm_long;27.55;2.2397366006
590433;Modification;cm_long;240.83;12.0147829991
561649;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590252;Modification;cm_long;2482.91;147.227346021
590224;Modification;cm_long;371.86;15.4929859343
590350;Modification;cm_long;251.08;48.2024073456
590457;Modification;cm_long;1314.54;27.3664948797
590236;Modification;cm_long;303.42;10.3233853438
591038;Modification;cm_long;252.26;4.3719261049
590902;Modification;cm_long;664.32;36.6680482937
590485;Modification;cm_long;85.68;5.5522929498
8336702;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590253;Modification;cm_long;85.5;43.3706916952
590483;Modification;cm_long;85.68;36.0507950213
590767;Modification;cm_long;801.49;327.002189261
578096;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
1317153;Modification;cm_long;256.73;50.3729579032
590326;Modification;cm_long;174.62;52.9443132575
590242;Modification;cm_long;372.56;78.4685487267
591035;Modification;cm_long;664.32;31.0231355449
590793;Modification;cm_long;504.64;80.7240330022
590316;Modification;cm_long;252.41;236.809553825
590255;Modification;cm_long;429.13;26.0896807999
591021;Modification;cm_long;1626.5;273.053350658
8282932;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590377;Modification;cm_long;2213.85;740.950992305
590307;Modification;cm_long;1017.08;32.6022433099
590480;Modification;cm_long;1314.54;27.7611071033
8282298;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590779;Modification;cm_long;429.13;44.2193979881
561282;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
591103;Modification;cm_long;2390.73;371.208178373
609639;Modification;cm_long;1963.279956;1964.55179729
8349540;Modification;cm_long;172.4963709;109.289741704
590789;Modification;cm_long;846;585.223754335
590917;Modification;cm_long;1314.54;30.0409015823
590467;Modification;cm_long;1017.08;19.1043131654
590862;Modification;cm_long;664.32;10.1752981774
590953;Modification;cm_long;1314.54;30.0484066559
590952;Modification;cm_long;1314.54;30.0875388279
562481;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
590227;Modification;cm_long;252.26;7.3242660561
590411;Modification;cm_long;2201.55;180.494185422
589622;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
561117;Modification;cm_codeext;HORS TERRITOIRE;TERRITOIRE
8736711;Ajout;;;
8527092;Ajout;;;
8511411;Ajout;;;
8511414;Ajout;;;
8585030;Ajout;;;
8611570;Ajout;;;
8622133;Ajout;;;
8511431;Ajout;;;
8574457;Ajout;;;
8590777;Ajout;;;
8647472;Ajout;;;
8643250;Ajout;;;
8560796;Ajout;;;
8590453;Ajout;;;
8639103;Ajout;;;
8736414;Ajout;;;
8594661;Ajout;;;
8560369;Ajout;;;
8740539;Ajout;;;
8647477;Ajout;;;
8515902;Ajout;;;
8616372;Ajout;;;
8651264;Ajout;;;
8511425;Ajout;;;
8637523;Ajout;;;
8594636;Ajout;;;
8497375;Ajout;;;
8811889;Ajout;;;
8497357;Ajout;;;
8684534;Ajout;;;
8697020;Ajout;;;
8543104;Ajout;;;
8560373;Ajout;;;
8560779;Ajout;;;
8614802;Ajout;;;
8638138;Ajout;;;
8497339;Ajout;;;
8736401;Ajout;;;
8560783;Ajout;;;
8497407;Ajout;;;
8737338;Ajout;;;
8519094;Ajout;;;
8621841;Ajout;;;
8520383;Ajout;;;
8560772;Ajout;;;
8614783;Ajout;;;
8546940;Ajout;;;
8736704;Ajout;;;
8590582;Ajout;;;
8546939;Ajout;;;
8590784;Ajout;;;
8560752;Ajout;;;
8590497;Ajout;;;
8609356;Ajout;;;
8527094;Ajout;;;
8497391;Ajout;;;
8647424;Ajout;;;
8497428;Ajout;;;
8637489;Ajout;;;
8514934;Ajout;;;
8649009;Ajout;;;
8903411;Ajout;;;
8622153;Ajout;;;
8590463;Ajout;;;
8587571;Ajout;;;
8611894;Ajout;;;
8753334;Ajout;;;
8533856;Ajout;;;
8590538;Ajout;;;
8590511;Ajout;;;
8585049;Ajout;;;
8615110;Ajout;;;
8625650;Ajout;;;
8497350;Ajout;;;
8585022;Ajout;;;
8543797;Ajout;;;
8609016;Ajout;;;
8643254;Ajout;;;
8615125;Ajout;;;
8560370;Ajout;;;
8594655;Ajout;;;
8504054;Ajout;;;
8515916;Ajout;;;
8574464;Ajout;;;
8622141;Ajout;;;
8842942;Ajout;;;
8519105;Ajout;;;
8585046;Ajout;;;
8527099;Ajout;;;
8683256;Ajout;;;
8515584;Ajout;;;
8515262;Ajout;;;
8497386;Ajout;;;
8594644;Ajout;;;
