pt_code;Attribut;Valeur N-1;Valeur N;Type
1347965;;;;Ajout
1339254;;;;Ajout
1352398;;;;Ajout
1351474;;;;Ajout
1337247;;;;Ajout
1338595;;;;Ajout
1337970;;;;Ajout
1766403;;;;Ajout
1338294;;;;Ajout
1350256;;;;Ajout
1342605;;;;Ajout
1338654;;;;Ajout
1338335;;;;Ajout
1338421;;;;Ajout
1337684;;;;Ajout
1337610;;;;Ajout
1341904;;;;Ajout
1348527;;;;Ajout
1346049;;;;Ajout
1346817;;;;Ajout
1341219;;;;Ajout
1341774;;;;Ajout
1351655;;;;Ajout
1347770;;;;Ajout
1339989;;;;Ajout
1346758;;;;Ajout
7714591;;;;Ajout
1345926;;;;Ajout
1338346;;;;Ajout
1340318;;;;Ajout
1352788;;;;Ajout
1338878;;;;Ajout
1338337;;;;Ajout
1337651;;;;Ajout
1346792;;;;Ajout
1345901;;;;Ajout
1351874;;;;Ajout
1346422;;;;Ajout
1348019;;;;Ajout
1345454;;;;Ajout
1350236;;;;Ajout
1341653;;;;Ajout
1339574;;;;Ajout
1342645;;;;Ajout
1347142;;;;Ajout
1346767;;;;Ajout
1346685;;;;Ajout
1339163;;;;Ajout
1348890;;;;Ajout
1347913;;;;Ajout
1345396;;;;Ajout
1338822;;;;Ajout
1352147;;;;Ajout
1352125;;;;Ajout
1341323;;;;Ajout
1338855;;;;Ajout
1338433;;;;Ajout
1352787;;;;Ajout
1347908;;;;Ajout
1353236;;;;Ajout
1337397;;;;Ajout
1338280;;;;Ajout
1340552;;;;Ajout
2568625;;;;Ajout
1368003;;;;Ajout
1338854;;;;Ajout
1337291;;;;Ajout
1339415;;;;Ajout
1339183;;;;Ajout
1348704;;;;Ajout
1344301;;;;Ajout
1348626;;;;Ajout
1341792;;;;Ajout
1339655;;;;Ajout
1370567;;;;Ajout
1342749;;;;Ajout
1352537;;;;Ajout
3068145;;;;Ajout
1338950;;;;Ajout
1337350;;;;Ajout
1339586;;;;Ajout
1338014;;;;Ajout
1347336;;;;Ajout
1337730;;;;Ajout
1339005;;;;Ajout
1345968;;;;Ajout
1348504;;;;Ajout
1340031;;;;Ajout
1345920;;;;Ajout
1339145;;;;Ajout
1339577;;;;Ajout
1342011;;;;Ajout
1360966;;;;Ajout
1338284;;;;Ajout
1348632;;;;Ajout
1341312;;;;Ajout
1338273;;;;Ajout
1337950;;;;Ajout
1339926;;;;Ajout
1348480;;;;Ajout
1338656;;;;Ajout
1338871;;;;Ajout
1340328;;;;Ajout
1341328;;;;Ajout
1339690;;;;Ajout
1340522;;;;Ajout
1352029;;;;Ajout
1341907;;;;Ajout
1339061;;;;Ajout
1337695;;;;Ajout
1340597;;;;Ajout
1340326;;;;Ajout
1341145;;;;Ajout
1337934;;;;Ajout
1341731;;;;Ajout
1346687;;;;Ajout
1339425;;;;Ajout
1338508;;;;Ajout
1338884;;;;Ajout
1337682;;;;Ajout
1339046;;;;Ajout
1338125;;;;Ajout
1342613;;;;Ajout
1353232;;;;Ajout
1341883;;;;Ajout
1338055;;;;Ajout
1342047;;;;Ajout
1390083;;;;Ajout
1340322;;;;Ajout
1337823;;;;Ajout
1339288;;;;Ajout
1347399;;;;Ajout
1338743;;;;Ajout
1339413;;;;Ajout
1340558;;;;Ajout
1339515;;;;Ajout
1340733;;;;Ajout
1352014;;;;Ajout
1338986;;;;Ajout
1338880;;;;Ajout
1347962;;;;Ajout
1341924;;;;Ajout
1338980;;;;Ajout
1339607;;;;Ajout
1337761;;;;Ajout
180691;;;;Ajout
1764161;;;;Ajout
1369934;;;;Ajout
1346633;;;;Ajout
1341995;;;;Ajout
1345381;;;;Ajout
1338614;;;;Ajout
1338119;;;;Ajout
1340175;;;;Ajout
1344302;;;;Ajout
1352290;;;;Ajout
1344269;;;;Ajout
1353359;;;;Ajout
1340067;;;;Ajout
1337662;;;;Ajout
1352995;;;;Ajout
1339562;;;;Ajout
1332223;;;;Ajout
1352776;;;;Ajout
167060;;;;Ajout
1343937;;;;Ajout
1338475;;;;Ajout
1338063;;;;Ajout
1067521;;;;Ajout
1348242;;;;Ajout
1339408;;;;Ajout
1353129;;;;Ajout
1337257;;;;Ajout
1337259;;;;Ajout
1337281;;;;Ajout
1337363;;;;Ajout
1339407;;;;Ajout
1339578;;;;Ajout
1338009;;;;Ajout
1338131;;;;Ajout
1764163;;;;Ajout
1350262;;;;Ajout
1338290;;;;Ajout
1352829;;;;Ajout
1348943;;;;Ajout
1346866;;;;Ajout
1348068;;;;Ajout
1340066;;;;Ajout
1353106;;;;Ajout
1337542;;;;Ajout
1352540;;;;Ajout
1339019;;;;Ajout
1346673;;;;Ajout
1340754;;;;Ajout
1339365;;;;Ajout
1344270;;;;Ajout
1348728;;;;Ajout
1339481;;;;Ajout
1339245;;;;Ajout
1346700;;;;Ajout
1337732;;;;Ajout
1351797;;;;Ajout
1341877;;;;Ajout
1341833;;;;Ajout
1346714;;;;Ajout
1338181;;;;Ajout
1341919;;;;Ajout
1340232;;;;Ajout
1340431;;;;Ajout
1347466;;;;Ajout
1348101;;;;Ajout
1342624;;;;Ajout
1337250;;;;Ajout
1338766;;;;Ajout
1341773;;;;Ajout
1339249;;;;Ajout
1352276;;;;Ajout
1341812;;;;Ajout
1345258;;;;Ajout
1337972;;;;Ajout
1348531;;;;Ajout
1351868;;;;Ajout
1348519;;;;Ajout
1348065;;;;Ajout
1345466;;;;Ajout
1339535;;;;Ajout
1347396;;;;Ajout
1341151;;;;Ajout
1338749;;;;Ajout
1338422;;;;Ajout
1337719;;;;Ajout
1337264;;;;Ajout
1352089;;;;Ajout
1339300;;;;Ajout
1344912;;;;Ajout
1339456;;;;Ajout
1339906;;;;Ajout
1340642;;;;Ajout
1341090;;;;Ajout
1353110;;;;Ajout
1351475;;;;Ajout
1348257;;;;Ajout
1339172;;;;Ajout
1343714;;;;Ajout
1351418;;;;Ajout
1340585;;;;Ajout
1346725;;;;Ajout
1338736;;;;Ajout
1341416;;;;Ajout
1348605;;;;Ajout
1338721;;;;Ajout
1352036;;;;Ajout
1347465;;;;Ajout
1337757;;;;Ajout
1341446;;;;Ajout
1347461;;;;Ajout
1724808;;;;Ajout
1352013;;;;Ajout
1340924;;;;Ajout
196481;;;;Ajout
1337573;;;;Ajout
1338959;;;;Ajout
1353146;;;;Ajout
1340776;;;;Ajout
1337677;;;;Ajout
1344789;;;;Ajout
1339583;;;;Ajout
1352246;;;;Ajout
1345443;;;;Ajout
1348932;;;;Ajout
1338120;;;;Ajout
1341401;;;;Ajout
1348991;;;;Ajout
1344360;;;;Ajout
1346940;;;;Ajout
1337262;;;;Ajout
1348034;;;;Ajout
1347886;;;;Ajout
1346618;;;;Ajout
1339064;;;;Ajout
1348295;;;;Ajout
1337295;;;;Ajout
1337644;;;;Ajout
1347312;;;;Ajout
1360971;;;;Ajout
1339533;;;;Ajout
1344781;;;;Ajout
1341800;;;;Ajout
1346819;;;;Ajout
1353642;;;;Ajout
1337589;;;;Ajout
1338128;;;;Ajout
1347203;;;;Ajout
1353264;;;;Ajout
233601;;;;Ajout
1337245;;;;Ajout
1347323;;;;Ajout
1346847;;;;Ajout
1337996;;;;Ajout
1348754;;;;Ajout
1352128;;;;Ajout
1341893;;;;Ajout
1342559;;;;Ajout
1337381;;;;Ajout
1337601;;;;Ajout
1338283;;;;Ajout
1348140;;;;Ajout
1341732;;;;Ajout
1337304;;;;Ajout
1338587;;;;Ajout
1339602;;;;Ajout
1345915;;;;Ajout
1339001;;;;Ajout
1338739;;;;Ajout
1341698;;;;Ajout
1347963;;;;Ajout
1346488;;;;Ajout
1344859;;;;Ajout
1339534;;;;Ajout
1337906;;;;Ajout
1343711;;;;Ajout
1337717;;;;Ajout
1341889;;;;Ajout
1346595;;;;Ajout
1348484;;;;Ajout
1344928;;;;Ajout
1339461;;;;Ajout
1344308;;;;Ajout
1337649;;;;Ajout
1344778;;;;Ajout
1339354;;;;Ajout
1338730;;;;Ajout
1337394;;;;Ajout
1339167;;;;Ajout
1340895;;;;Ajout
1344927;;;;Ajout
178990;;;;Ajout
1341203;;;;Ajout
1346839;;;;Ajout
1348472;;;;Ajout
1339298;;;;Ajout
1337956;;;;Ajout
1339063;;;;Ajout
1347450;;;;Ajout
1348613;;;;Ajout
1337861;;;;Ajout
1339069;;;;Ajout
1341256;;;;Ajout
1340686;;;;Ajout
1338344;;;;Ajout
1338087;;;;Ajout
1353371;;;;Ajout
1338668;;;;Ajout
1337323;;;;Ajout
1345940;;;;Ajout
1352283;;;;Ajout
1339582;;;;Ajout
1337537;;;;Ajout
1764481;;;;Ajout
1337312;;;;Ajout
1337357;;;;Ajout
1340732;;;;Ajout
1345318;;;;Ajout
1338036;;;;Ajout
1340554;;;;Ajout
1348118;;;;Ajout
1337903;;;;Ajout
1347195;;;;Ajout
1338832;;;;Ajout
1347660;;;;Ajout
1348122;;;;Ajout
1347338;;;;Ajout
1347547;;;;Ajout
1339610;;;;Ajout
1339587;;;;Ajout
1337767;;;;Ajout
1339954;;;;Ajout
1347896;;;;Ajout
1347918;;;;Ajout
1340174;;;;Ajout
1345390;;;;Ajout
1348489;;;;Ajout
1338912;;;;Ajout
1337287;;;;Ajout
1339387;;;;Ajout
1339706;;;;Ajout
1353265;;;;Ajout
1337955;;;;Ajout
1337725;;;;Ajout
1338809;;;;Ajout
1337731;;;;Ajout
1338234;;;;Ajout
1347912;;;;Ajout
1339700;;;;Ajout
1369926;;;;Ajout
1337655;;;;Ajout
1339146;;;;Ajout
1338963;;;;Ajout
1344272;;;;Ajout
1347964;;;;Ajout
1348951;;;;Ajout
1341185;;;;Ajout
1338048;;;;Ajout
1340666;;;;Ajout
1353394;;;;Ajout
1337386;;;;Ajout
1345912;;;;Ajout
1340531;;;;Ajout
1341778;;;;Ajout
1348737;;;;Ajout
1341055;;;;Ajout
1340556;;;;Ajout
1339540;;;;Ajout
1688977;;;;Ajout
1340068;;;;Ajout
1346601;;;;Ajout
1337390;;;;Ajout
1348892;;;;Ajout
1352794;;;;Ajout
1340673;;;;Ajout
1340928;;;;Ajout
1339331;;;;Ajout
1339531;;;;Ajout
1339283;;;;Ajout
1341914;;;;Ajout
1338123;;;;Ajout
1340551;;;;Ajout
1346690;;;;Ajout
1339384;;;;Ajout
1337483;;;;Ajout
1340063;;;;Ajout
1339297;;;;Ajout
1338427;;;;Ajout
1341947;;;;Ajout
1338585;;;;Ajout
1342583;;;;Ajout
473601;;;;Ajout
1340165;;;;Ajout
1338919;;;;Ajout
1343271;;;;Ajout
1344756;;;;Ajout
1346631;;;;Ajout
1350379;;;;Ajout
1339373;;;;Ajout
1339004;;;;Ajout
1342568;;;;Ajout
1339000;;;;Ajout
1339156;;;;Ajout
1346766;;;;Ajout
1352781;;;;Ajout
1339410;;;;Ajout
1341180;;;;Ajout
1342558;;;;Ajout
1339067;;;;Ajout
1368002;;;;Ajout
1337656;;;;Ajout
1340430;;;;Ajout
1339672;;;;Ajout
1348565;;;;Ajout
1352018;;;;Ajout
1347968;;;;Ajout
1337300;;;;Ajout
1345503;;;;Ajout
1338471;;;;Ajout
1337776;;;;Ajout
7714589;;;;Ajout
1341949;;;;Ajout
1341054;;;;Ajout
1338966;;;;Ajout
1353112;;;;Ajout
1343164;;;;Ajout
1345982;;;;Ajout
1346796;;;;Ajout
1340327;;;;Ajout
1346750;;;;Ajout
1341277;;;;Ajout
1339158;;;;Ajout
1338277;;;;Ajout
1338071;;;;Ajout
1345937;;;;Ajout
1339568;;;;Ajout
1338859;;;;Ajout
1338247;;;;Ajout
1338275;;;;Ajout
1344281;;;;Ajout
1339529;;;;Ajout
1337974;;;;Ajout
1340612;;;;Ajout
1339457;;;;Ajout
1338003;;;;Ajout
1340741;;;;Ajout
6346225;;;;Ajout
1348053;;;;Ajout
1340932;;;;Ajout
1345924;;;;Ajout
1337446;;;;Ajout
1340050;;;;Ajout
1337430;;;;Ajout
1345421;;;;Ajout
1352999;;;;Ajout
1339812;;;;Ajout
1338934;;;;Ajout
1337361;;;;Ajout
1343176;;;;Ajout
1340329;;;;Ajout
1348380;;;;Ajout
1338163;;;;Ajout
1342012;;;;Ajout
1341900;;;;Ajout
171482;;;;Ajout
1325806;;;;Ajout
1338049;;;;Ajout
1344277;;;;Ajout
1338250;;;;Ajout
1340545;;;;Ajout
1346599;;;;Ajout
1350210;;;;Ajout
1347361;;;;Ajout
1348110;;;;Ajout
1337248;;;;Ajout
1351631;;;;Ajout
1347537;;;;Ajout
1352780;;;;Ajout
1338334;;;;Ajout
1347355;;;;Ajout
1348970;;;;Ajout
1348099;;;;Ajout
1352797;;;;Ajout
1340914;;;;Ajout
1351370;;;;Ajout
1348490;;;;Ajout
1343828;;;;Ajout
1339563;;;;Ajout
1340825;;;;Ajout
1347911;;;;Ajout
1337623;;;;Ajout
1338070;;;;Ajout
1337571;;;;Ajout
1346759;;;;Ajout
1348514;;;;Ajout
1351652;;;;Ajout
1341218;;;;Ajout
1339524;;;;Ajout
1339503;;;;Ajout
1345971;;;;Ajout
1338751;;;;Ajout
1338974;;;;Ajout
1346627;;;;Ajout
1339175;;;;Ajout
1337915;;;;Ajout
177305;;;;Ajout
1341322;;;;Ajout
1347259;;;;Ajout
1344926;;;;Ajout
1340099;;;;Ajout
1338618;;;;Ajout
1337988;;;;Ajout
1352105;;;;Ajout
1339601;;;;Ajout
2633604;;;;Ajout
1340037;;;;Ajout
1342582;;;;Ajout
1347417;;;;Ajout
1353366;;;;Ajout
1347779;;;;Ajout
1338997;;;;Ajout
1347924;;;;Ajout
1347498;;;;Ajout
1511573;;;;Ajout
154484;;;;Ajout
1351873;;;;Ajout
1344716;;;;Ajout
1342579;;;;Ajout
1345922;;;;Ajout
1348285;;;;Ajout
1346814;;;;Ajout
1347664;;;;Ajout
1346037;;;;Ajout
1337289;;;;Ajout
1338889;;;;Ajout
1343709;;;;Ajout
1340096;;;;Ajout
1337920;;;;Ajout
1339164;;;;Ajout
1347972;;;;Ajout
1348653;;;;Ajout
1346671;;;;Ajout
1347796;;;;Ajout
1348124;;;;Ajout
1339640;;;;Ajout
1338404;;;;Ajout
1337592;;;;Ajout
1337827;;;;Ajout
1346757;;;;Ajout
1348027;;;;Ajout
1337949;;;;Ajout
1337452;;;;Ajout
1338149;;;;Ajout
1337345;;;;Ajout
1337442;;;;Ajout
1338960;;;;Ajout
1766083;;;;Ajout
1340323;;;;Ajout
1348097;;;;Ajout
1347351;;;;Ajout
1339446;;;;Ajout
1339433;;;;Ajout
1342557;;;;Ajout
1346632;;;;Ajout
1348952;;;;Ajout
1341088;;;;Ajout
1348559;;;;Ajout
1338126;;;;Ajout
1340707;;;;Ajout
1347768;;;;Ajout
1346042;;;;Ajout
1348291;;;;Ajout
1352917;;;;Ajout
1342585;;;;Ajout
1344712;;;;Ajout
1345451;;;;Ajout
1348666;;;;Ajout
1352151;;;;Ajout
1337910;;;;Ajout
1347364;;;;Ajout
1342032;;;;Ajout
1340647;;;;Ajout
1337506;;;;Ajout
1342644;;;;Ajout
1339238;;;;Ajout
1338844;;;;Ajout
1348382;;;;Ajout
1353621;;;;Ajout
1339526;;;;Ajout
1338604;;;;Ajout
1340550;;;;Ajout
1353417;;;;Ajout
1342318;;;;Ajout
1341156;;;;Ajout
1348287;;;;Ajout
1346681;;;;Ajout
1348968;;;;Ajout
1348577;;;;Ajout
2514227;;;;Ajout
1345411;;;;Ajout
1766082;;;;Ajout
1338951;;;;Ajout
194769;;;;Ajout
1348015;;;;Ajout
1339424;;;;Ajout
1347545;;;;Ajout
1347255;;;;Ajout
1347881;;;;Ajout
1343759;;;;Ajout
1338810;;;;Ajout
1353130;;;;Ajout
1348025;;;;Ajout
1338438;;;;Ajout
1345257;;;;Ajout
1347975;;;;Ajout
1346514;;;;Ajout
1338175;;;;Ajout
1338064;;;;Ajout
1338773;;;;Ajout
1346851;;;;Ajout
1348055;;;;Ajout
1340626;;;;Ajout
1338177;;;;Ajout
1351460;;;;Ajout
1337401;;;;Ajout
1341188;;;;Ajout
1346619;;;;Ajout
1341887;;;;Ajout
1348563;;;;Ajout
1339290;;;;Ajout
1338765;;;;Ajout
1339701;;;;Ajout
1337633;;;;Ajout
1344312;;;;Ajout
1338276;;;;Ajout
1339637;;;;Ajout
1348971;;;;Ajout
192704;;;;Ajout
1345931;;;;Ajout
1340697;;;;Ajout
192831;;;;Ajout
1352096;;;;Ajout
1340725;;;;Ajout
1348012;;;;Ajout
1339933;;;;Ajout
1351374;;;;Ajout
1338439;;;;Ajout
1347540;;;;Ajout
1338057;;;;Ajout
1349513;;;;Ajout
1339015;;;;Ajout
1338473;;;;Ajout
1347496;;;;Ajout
1338243;;;;Ajout
1346702;;;;Ajout
1352001;;;;Ajout
1342590;;;;Ajout
1348616;;;;Ajout
1338611;;;;Ajout
1339173;;;;Ajout
1344820;;;;Ajout
1352221;;;;Ajout
1339694;;;;Ajout
1348106;;;;Ajout
1347464;;;;Ajout
1338159;;;;Ajout
1353090;;;;Ajout
1339007;;;;Ajout
1348887;;;;Ajout
1352021;;;;Ajout
1337348;;;;Ajout
1347785;;;;Ajout
1337836;;;;Ajout
1340435;;;;Ajout
1341815;;;;Ajout
1339030;;;;Ajout
1346727;;;;Ajout
