cb_code;Type;Attribut;Valeur N-1;Valeur N
29987940;Modification;cb_lgreel;333.7388;516.074
18379877;Modification;cb_lgreel;545.9465;541.3279
17192046;Modification;cb_lgreel;2251.5198;2302.6333
17192047;Modification;cb_lgreel;1078.3175;1096.3796
4625518;Modification;cb_lgreel;258.9349;257.9306
17192048;Modification;cb_lgreel;543.4083;546.8879
4609144;Modification;cb_lgreel;161.8653;162.9696
4609145;Modification;cb_lgreel;192.3621;193.4644
4617343;Modification;cb_lgreel;30.0282;31.1499
5059732;Modification;cb_lgreel;693.1468;707.0472
4641490;Modification;cb_lgreel;260.944;262.186
34542819;Modification;cb_lgreel;544.3894;531.4256
15234289;Modification;cb_lgreel;1003.579;1100.7142
15234291;Modification;cb_lgreel;471.1576;467.1898
29242657;Modification;cb_lgreel;400.1227;420.2044
4642094;Modification;cb_lgreel;700.4624;714.2166
16119089;Modification;cb_lgreel;816.8216;832.7764
19707242;Modification;cb_lgreel;900.7486;879.4378
18437511;Modification;cb_lgreel;1210.4315;1562.6571
18437513;Modification;cb_lgreel;815.3341;813.6698
18437514;Modification;cb_lgreel;707.2721;729.0901
18437515;Modification;cb_lgreel;669.7295;700.7624
18437516;Modification;cb_lgreel;450.1145;448.6878
18437517;Modification;cb_lgreel;1434.8916;1853.1014
18437518;Modification;cb_lgreel;1381.8895;1383.8
4609429;Modification;cb_lgreel;947.0486;945.838
11007382;Modification;cb_lgreel;270.9139;271.9444
15570346;Modification;cb_lgreel;876.6192;873.679
15570347;Modification;cb_lgreel;1645.1153;1635.7705
5141969;Modification;cb_lgreel;124.9343;126.0385
23336424;Modification;cb_lgreel;222.9911;221.7091
23336425;Modification;cb_lgreel;111.9271;114.8711
4609551;Modification;cb_lgreel;300.3987;291.9839
30365219;Modification;cb_lgreel;722.642;727.5259
22214178;Modification;cb_lgreel;258.5361;269.8064
4634251;Modification;cb_lgreel;54.7544;59.9045
4634253;Modification;cb_lgreel;757.1012;767.2165
18273961;Modification;cb_lgreel;971.8647;988.8382
18273962;Modification;cb_lgreel;1323.9599;1333.9324
4609712;Modification;cb_lgreel;656.4443;666.664
4609714;Modification;cb_lgreel;409.1545;386.5898
4609713;Modification;cb_lgreel;786.2401;796.4592
4609709;Modification;cb_lgreel;638.2615;640.0547
4609729;Modification;cb_lgreel;262.3624;266.4889
4642556;Modification;cb_lgreel;539.0514;647.5274
25876259;Modification;cb_lgreel;1196.9883;1198.1987
4642625;Modification;cb_lgreel;32.1344;58.0077
4601672;Modification;cb_lgreel;13.2725;22.8144
18020193;Modification;cb_lgreel;1077.2656;1074.4306
4601702;Modification;cb_lgreel;597.7391;639.285
4601711;Modification;cb_lgreel;297.9306;296.666
4601712;Modification;cb_lgreel;299.8817;298.6154
32192417;Modification;cb_lgreel;430.3297;529.6539
17389475;Modification;cb_lgreel;469.2316;437.1642
17389473;Modification;cb_lgreel;1251.3813;1255.2143
17389474;Modification;cb_lgreel;613.3463;607.4024
17389477;Modification;cb_lgreel;579.3182;567.6901
17389476;Modification;cb_lgreel;541.0734;532.0806
43169716;Modification;cb_lgreel;509.7635;490.8691
43169717;Modification;cb_lgreel;336.9176;335.5427
17307616;Modification;cb_lgreel;755.9499;751.2648
17373207;Modification;cb_lgreel;986.1926;989.6094
16701475;Modification;cb_lgreel;1319.5586;1392.7178
16701477;Modification;cb_lgreel;1076.6665;1343.2422
16701479;Modification;cb_lgreel;520.1787;527.9633
16701482;Modification;cb_lgreel;536.1764;889.541
16701483;Modification;cb_lgreel;791.1572;837.7926
16701484;Modification;cb_lgreel;1231.4656;1239.9987
4601901;Modification;cb_lgreel;628.7887;627.7393
16701487;Modification;cb_lgreel;691.8588;793.6707
4634672;Modification;cb_lgreel;292.3329;284.2106
7452721;Modification;cb_lgreel;0.4989;18.4141
16701488;Modification;cb_lgreel;873.9479;802.3962
4634671;Modification;cb_lgreel;189.0174;180.0555
12933219;Modification;cb_lgreel;519.3416;524.132
12933220;Modification;cb_lgreel;15.9829;37.5409
4601976;Modification;cb_lgreel;1251.8292;1253.496
4601977;Modification;cb_lgreel;414.2338;415.9003
29259963;Modification;cb_lgreel;1411.8859;1387.9272
4602122;Modification;cb_lgreel;220.5574;219.3611
8198418;Modification;cb_lgreel;550.4565;642.1566
8198419;Modification;cb_lgreel;599.0455;689.781
6281509;Modification;cb_lgreel;111.833;110.6162
6281510;Modification;cb_lgreel;904.0769;905.3407
34934817;Modification;cb_lgreel;1150.6118;1161.0944
4610402;Modification;cb_lgreel;823.8901;835.8796
32184737;Modification;cb_lgreel;784.8129;756.8335
22763937;Modification;cb_lgreel;165.3273;166.4583
19839393;Modification;cb_lgreel;810.7796;658.4221
8433876;Modification;cb_lgreel;390.3427;393.4759
36649395;Modification;cb_lgreel;14.2769;12.2218
17177013;Modification;cb_lgreel;1039.1145;1084.5482
17177012;Modification;cb_lgreel;666.6779;655.8815
17177011;Modification;cb_lgreel;912.164;1532.9254
20453859;Modification;cb_lgreel;589.069;590.2638
17201649;Modification;cb_lgreel;797.2351;795.027
17201650;Modification;cb_lgreel;321.4673;282.4209
17201651;Modification;cb_lgreel;459.6779;465.7507
17201652;Modification;cb_lgreel;228.6354;227.3996
17201653;Modification;cb_lgreel;525.9266;443.4898
17201655;Modification;cb_lgreel;1126.9676;1147.8558
11082260;Modification;cb_lgreel;272.2486;273.6468
7428629;Modification;cb_lgreel;138.9962;144.7063
28875298;Modification;cb_lgreel;1494.7284;1503.4499
28875299;Modification;cb_lgreel;129.3515;121.5876
28875300;Modification;cb_lgreel;153.7545;163.2489
28875301;Modification;cb_lgreel;188.6558;198.3086
33012289;Modification;cb_lgreel;696.1776;697.3403
17373798;Modification;cb_lgreel;772.8359;771.6932
4602487;Modification;cb_lgreel;233.4247;748.0416
4602489;Modification;cb_lgreel;284.7352;393.3161
17332865;Modification;cb_lgreel;620.1693;630.8799
34618022;Modification;cb_lgreel;3.1475;47.2634
34618023;Modification;cb_lgreel;1769.1801;1736.4753
14842595;Modification;cb_lgreel;1556.9473;1716.1519
14842625;Modification;cb_lgreel;1870.0329;1888.4585
14842626;Modification;cb_lgreel;851.2811;874.9631
7682849;Modification;cb_lgreel;0.165;14.0843
