bp_code;Type
IRS - 2 RUE DU HAMEAU FLEURI ( BOULOGNE BILLANCOURT ) - BPE 1;Ajout
IRS - 1 BOULEVARD ARISTIDE BRIAND ( CHAMPIGNY-SUR-MARNE ) - BPE 1;Ajout
IRS - FT 2322 - RUE M ROUSIER (PONTOISE) - BPE 1;Ajout
FT - 93 RUE DE LA DIVISION LECLERC - BPE 1;Ajout
IRS - 54 RUE DU LANDY (CLICHY) - BPE 1;Ajout
RUE GEORGES ENESCO (CRETEIL) - BPE 1;Ajout
IRS- 23 BD JEAN JAURES SAINT OUEN - BPE 1;Ajout
IRS - BI 50 RUE ARDOIN (SAINT OUEN);Ajout
RUE MARCELLIN BERTHELOT - BPE 1;Ajout
IRS - 11 RUE DES BLONDEAUX - BPE 1;Ajout
IRS - BD POINCARRE - COTE PAIN - BPE 1;Ajout
IRS - 5 RUE KLEBER (MONTREUIL) - BPE 1;Ajout
IRS - FT 664 - RUE DE PARIS (HERBLAY) - BPE 1;Ajout
IRS - ANGLE AV FELLINI - AV WILSON (ST DENIS) - BPE 1;Ajout
IRS - FT 1894 - 48 D906 (CLAMART) - BPE 1;Ajout
IRS - BD ANATOLE FRANCE - BPE 1;Ajout
IRS - 84 RUE CARVES (MONTROUGE) - BPE 1;Ajout
IRS - 36 RUE ST DENIS SAINT OUEN - BPE 1;Ajout
IRS - ALSACE LORRAINE-FERRY (LE PERREUX) - IRISE - BPE 1;Ajout
IRS - FT_256 - ANGLE AV R.SALENGRO-RUE ANATOLE FRANCE(CHAVILLE) - BPE 1;Ajout
IRS - FT1539 - AV WALWEIN (MONTREUIL) - BPE 1;Ajout
IRS- 48 Fo CH Mairie Ile St Denis;Ajout
IRS - VILLENEUVE_PAYMAL (CLICHY) - BPE 1;Ajout
IRS - ST MARTIN_CHAUDERON - BPE 1;Ajout
IRS - FT 210 - RUE DE ROUEN (PONTOISE) - BPE 1;Ajout
IRS - FT95 - 22 RUE AUGUSTE PERRET (VILLEJUIF) - BPE 1;Ajout
IRS - LA MONTAGNE-MONUMENT CHAMPIGNY - BPE 1;Ajout
IRS - BI JARDINS_SUD (D62) - BPE 1;Ajout
IRS N-1 ADD2 AVICENNE - BPE 1;Ajout
IRS - RUE DE NOAILLES (VERSAILLES) - BPE 1;Ajout
IRS - LEROUX_ORMES(FONTENAY SOUS BOIS) (NE PAS INTERVENIR) - BPE 1;Ajout
IRS - BI POLYATHAS (D94) - BPE 1;Ajout
IRS - ALLEE JEAN BIGUET - BPE 1;Ajout
IRS -  CLOS SANTEUIL (ERAGNY) - BPE 1;Ajout
IRS - 52 ROUTE DES FUSILLES DE LA RESISTANCE (NANTERRE) - BPE 1;Ajout
CH SAT SECURISEE CAM35_FT680;Ajout
IRS - FT1036 - 216 AV JEAN JAURES (CLAMART) - BPE 1;Ajout
IRS - PLACE DE L'EGLISE (ROMAINVILLE) - BPE 1;Ajout
IRS - PARC DES ANCIENNES MAIRIES (NANTERRE) - BPE 2;Ajout
IRS - LE BOURGET MAIRIE (ANIZAN CAVILLON) - BPE 1;Ajout
IRS - FT1736 - 3 RUE DES EPERNONS (MONTREUIL) - BPE 1;Ajout
IRS - FT 518 - 117 AVENUE HENRI BARBUSSE (DRANCY) - BPE 1;Ajout
IRS - FT 63 - AVENUE JEAN BAPTISTE CLEMENT - BPE 1;Ajout
IRS - RUE MARCEL CACHIN (BOBIGNY) - BPE 1;Ajout
IRS - Clos SANTEUIL FRENES (Eragny) - BPE 1;Ajout
IRS - GALILEE_VERSAILLES (LE PLESSIS-ROBINSON) - BPE 1;Ajout
IRS - FT 8 RUE JULIEN ADASON (VELIZY VILLACOUBLAY) - BPE 1;Ajout
IRS - 132 AV DU PRESIDENT WILSON . AB PROD ADD1 (SAINT DENIS) - BPE 1;Ajout
VERS MAISON DES PARENTS - BPE 1;Ajout
FT594 - ANGLE AV ANDRE ROUY- AV DE L EUROPE (VILLIERS SUR MARNE) - BPE1;Ajout
IRS - FT595 - 15 RUE DELPECHE (MONTREUIL) - BPE 1;Ajout
JD-C16775740-BPE 2;Ajout
PRC - GLC - ROUTE DE GONESSE - BPE 1;Ajout
IRS - RUE DE PARIS-LIBERTE - BPE 1;Ajout
IRS - FT 1204 - 88 AVENUE DE LA BRUYERE (VITRY SUR SEINE) - BPE 1;Ajout
IRS - FT 1296 - 54 RUE PASTEUR (VILLEJUIF) - BPE 1;Ajout
IRS - FT2122 - RUE SAINT DENIS (MONTREUIL) - BPE 1;Ajout
IRS - FT 2674 -  SQUARE HAMELN  (ST MAUR DES FOSSES) - BPE 1;Ajout
IRS - FT 327 RUE DES ENTREPRENEURS (CARRIERES SUR SEINE) - BPE 1;Ajout
IRS - FT 1414 - 29 RUE DE LA SABLIERE (COURBEVOIE) - BPE 1;Ajout
IRS - FT 156 - AVENUE DE LA REPUBLIQUE (BONEUIL SUR MARNE) - BPE 1;Ajout
IRS - N-1 AUGUSTA RUNGIS - BPE 1;Ajout
BI CARRARD - K2 PROPRETE - BPE 1;Ajout
IRS - 114 AVENUE ANTOLE FRANCE (CHOISY LE ROI) - BPE1;Ajout
IRS - LANDY_FILLETTES (St Denis) - BPE 1;Ajout
IRS - 1 BD DE LA REPUBLIQUE (COURBEVOIE) - BPE 1;Ajout
IRS - BI 33 RUE DU JURA (RUNGIS) - BPE 1;Ajout
IRS - FT 448 -  ANGLE RUE E.VARLIN R.ROLLAND ( VILLEJUIF ) - BPE 1;Ajout
IRS - FT 945 - 145 RUE DU FAUSSE BLANC (GENNEVILLIERS) - BPE 1;Ajout
IRS - 84 RUE DU QUATRIEME ZOUAVE (ROSNY SOUS BOIS) - BPE 1;Ajout
N-1 ADD2 BROUSSE - BPE 1;Ajout
IRS - 46 RUE CARREL (MONTREUIL) - BPE 1;Ajout
IRS - 52 RUE ALBERT THOMAS - BPE 1;Ajout
IRISE FT846 34 AVENUE LOUIS ARAGON - BPE1;Ajout
IRISE - FT126 - 2 PLACE PABLO PICASSO (VILLEJUIF) - BPE1;Ajout
RFF - RUE NEWTON (MITRY CLAYE)?? - BPE 2;Ajout
IRS - FT2713 - RUE DANIEL RENOULT (MONTREUIL) BPE 1;Ajout
IRS - FT 1472 - RUE MADELEINE (NEUILLY SUR SEINE) - BPE 1;Ajout
IRS - 14 RUE ALLEE DES PROGRES (MONTREUIL) - BPE1;Ajout
IRS - TIMBAUD/PAIX GENNEVILLIERS - BPE 1;Ajout
BPI POP FTTS WILSON (JOINVILLE LE PONT);Ajout
IRS - N-1 CEPHALON A (MAISONS ALFORT) - BPE 1;Ajout
IRS - BI - 121 RUE DU LANDY (SAINT DENIS);Ajout
IRS - GALLIENI-GATINE - BPE 1;Ajout
IRS - 34. AVENUE DE LA DIVISION LECLERC (CACHAN) - BPE 1;Ajout
BPI 2 RUE FONTENAY (SCEAUX) - BPE 1;Ajout
PRC CAM59;Ajout
CH COLT CAA MICHELET - BPE 1;Ajout
BPE INTEROUTE ISLE / GALIENI - BPE 1;Ajout
IRS- EXPANSION - BPE 1;Ajout
PRC CAMERA VIDEO ROSNY 5;Ajout
IRS - FT 1053 - RUE DE COURBEVOIE (NANTERRE) - BPE1;Ajout
IRS - FT 111 -  2 AVENUE WINSTON CHURCHILL (CHARENTON LE PONT) - BPE 1;Ajout
IRS - BI 128 BIS AVENUE JEAN JAURES (IVRY SUR SEINE);Ajout
IRS - FT62 - RUE DE L ESPERANCE - BPE 1;Ajout
IRS - SANEF A4 LOGNES ?? - BPE 1;Ajout
IRS - FT 1674 - RUE FULGENCE BIENVENUE (GENNEVILLIERS) - BPE 1;Ajout
IRS - 120/124 AV DE PARIS  (ST MANDE) - BPE 1;Ajout
IRS - 58 AV DE LA RESISTANCE - BPE 1;Ajout
IRS - N-1 POP SAFRAN (ERAGNY) - BPE 1;Ajout
IRS - N-1 ADD2 MURET - BPE 1;Ajout
IRS - 26 RUE BERTHOLLET (ARCUEIL) - BPE 1;Ajout
IRISE - FT 220 - ALLEE ROBILLARD - BPE 1;Ajout
IRS - FT 848 - 63 BD DE LA BOISSIERE (NOISY-LE-SEC) - BPE 1;Ajout
