pt_code;Attribut;Valeur N-1;Valeur N;Type
7800366;;;;Ajout
7830100;;;;Ajout
7899854;;;;Ajout
7871396;;;;Ajout
7840963;;;;Ajout
7796165;;;;Ajout
7798429;;;;Ajout
7905596;;;;Ajout
8007028;;;;Ajout
7883842;;;;Ajout
7963508;;;;Ajout
7795517;;;;Ajout
7838094;;;;Ajout
7838405;;;;Ajout
7837786;;;;Ajout
7855706;;;;Ajout
7899853;;;;Ajout
7905912;;;;Ajout
7973750;;;;Ajout
7890545;;;;Ajout
7796171;;;;Ajout
7912684;;;;Ajout
7837754;;;;Ajout
7861750;;;;Ajout
7859320;;;;Ajout
7837809;;;;Ajout
7901119;;;;Ajout
7827221;;;;Ajout
7830073;;;;Ajout
7859240;;;;Ajout
7859343;;;;Ajout
7994548;;;;Ajout
7873271;;;;Ajout
7855675;;;;Ajout
7796151;;;;Ajout
7782735;;;;Ajout
7877107;;;;Ajout
7833908;;;;Ajout
7783035;;;;Ajout
7848006;;;;Ajout
7861427;;;;Ajout
7861470;;;;Ajout
7926394;;;;Ajout
7912685;;;;Ajout
7819848;;;;Ajout
7861440;;;;Ajout
7859232;;;;Ajout
7819868;;;;Ajout
7912650;;;;Ajout
7991056;;;;Ajout
7838122;;;;Ajout
7798413;;;;Ajout
7859335;;;;Ajout
7847991;;;;Ajout
7883857;;;;Ajout
7876788;;;;Ajout
7783062;;;;Ajout
7856655;;;;Ajout
7905288;;;;Ajout
7827214;;;;Ajout
7876818;;;;Ajout
7838395;;;;Ajout
7855681;;;;Ajout
7905292;;;;Ajout
7905278;;;;Ajout
7827194;;;;Ajout
7803192;;;;Ajout
7800306;;;;Ajout
7915843;;;;Ajout
7861488;;;;Ajout
7838420;;;;Ajout
7838410;;;;Ajout
7834225;;;;Ajout
7963531;;;;Ajout
7790073;;;;Ajout
7991707;;;;Ajout
7798428;;;;Ajout
8201907;;;;Ajout
7871369;;;;Ajout
7876817;;;;Ajout
7811869;;;;Ajout
7789135;;;;Ajout
7811833;;;;Ajout
7904956;;;;Ajout
7819856;;;;Ajout
7830096;;;;Ajout
7855672;;;;Ajout
7873592;;;;Ajout
7782721;;;;Ajout
7963526;;;;Ajout
7912704;;;;Ajout
7905281;;;;Ajout
7915890;;;;Ajout
7796207;;;;Ajout
7819859;;;;Ajout
7811830;;;;Ajout
7833280;;;;Ajout
7890554;;;;Ajout
7899881;;;;Ajout
7905276;;;;Ajout
7837783;;;;Ajout
7883521;;;;Ajout
7926389;;;;Ajout
7838391;;;;Ajout
7899836;;;;Ajout
7883276;;;;Ajout
7827249;;;;Ajout
7859261;;;;Ajout
7991039;;;;Ajout
7871365;;;;Ajout
7948805;;;;Ajout
7850281;;;;Ajout
7830084;;;;Ajout
7991456;;;;Ajout
7883192;;;;Ajout
7783057;;;;Ajout
7856644;;;;Ajout
7899859;;;;Ajout
7783068;;;;Ajout
7838386;;;;Ajout
7859339;;;;Ajout
7899869;;;;Ajout
7899889;;;;Ajout
7915845;;;;Ajout
7838412;;;;Ajout
7811847;;;;Ajout
7915879;;;;Ajout
7973758;;;;Ajout
7850283;;;;Ajout
7912711;;;;Ajout
7838072;;;;Ajout
7991467;;;;Ajout
7819844;;;;Ajout
7826568;;;;Ajout
7861442;;;;Ajout
7915852;;;;Ajout
7877117;;;;Ajout
7926404;;;;Ajout
7838116;;;;Ajout
7837772;;;;Ajout
7830391;;;;Ajout
7800353;;;;Ajout
7861487;;;;Ajout
7948791;;;;Ajout
